,year,subject_sex,contraband_found,nb_find,nb_search,Hit_rate,County,City
7,2016.0,female,True,594,1734,34.2560553633218,ca,oakland
9,2016.0,male,True,3051,8303,36.74575454654944,ca,oakland
11,2017.0,female,True,392,1876,20.8955223880597,ca,oakland
13,2017.0,male,True,2114,9005,23.475846751804553,ca,oakland
1,2014.0,female,True,101,1326,7.616892911010558,ca,oakland
3,2014.0,male,True,481,5528,8.701157742402316,ca,oakland
5,2015.0,female,True,64,904,7.079646017699115,ca,oakland
7,2015.0,male,True,314,3345,9.387144992526158,ca,oakland
9,2016.0,female,True,85,697,12.195121951219512,ca,oakland
11,2016.0,male,True,383,3214,11.916614810205353,ca,oakland
13,2017.0,female,True,19,214,8.878504672897195,ca,oakland
15,2017.0,male,True,98,1020,9.607843137254903,ca,oakland
1,2007.0,female,True,346,1342,25.78241430700447,ca,oakland
3,2007.0,male,True,915,5496,16.648471615720524,ca,oakland
5,2008.0,female,True,336,1416,23.728813559322035,ca,oakland
7,2008.0,male,True,916,6618,13.841039588999699,ca,oakland
9,2009.0,female,True,236,1398,16.88125894134478,ca,oakland
11,2009.0,male,True,722,6177,11.68852193621499,ca,oakland
13,2010.0,female,True,209,1037,20.154291224686595,ca,oakland
15,2010.0,male,True,747,4601,16.235600956313846,ca,oakland
17,2011.0,female,True,165,1131,14.588859416445624,ca,oakland
19,2011.0,male,True,571,5306,10.761402186204297,ca,oakland
21,2012.0,female,True,115,772,14.896373056994818,ca,oakland
23,2012.0,male,True,423,4201,10.069031183051655,ca,oakland
25,2013.0,female,True,86,532,16.165413533834585,ca,oakland
27,2013.0,male,True,373,3385,11.019202363367798,ca,oakland
29,2014.0,female,True,144,538,26.765799256505574,ca,oakland
31,2014.0,male,True,517,3333,15.51155115511551,ca,oakland
33,2015.0,female,True,142,568,25.0,ca,oakland
35,2015.0,male,True,630,3630,17.355371900826448,ca,oakland
37,2016.0,female,True,63,241,26.141078838174277,ca,oakland
39,2016.0,male,True,320,1659,19.288728149487643,ca,oakland
1,2006.0,female,True,48,486,9.876543209876543,tx,oakland
3,2006.0,male,True,324,1711,18.936294564582116,tx,oakland
5,2007.0,female,True,29,189,15.343915343915343,tx,oakland
7,2007.0,male,True,250,1121,22.301516503122212,tx,oakland
9,2008.0,female,True,34,180,18.88888888888889,tx,oakland
11,2008.0,male,True,290,1184,24.493243243243242,tx,oakland
13,2009.0,female,True,38,144,26.38888888888889,tx,oakland
15,2009.0,male,True,282,1165,24.206008583690988,tx,oakland
17,2010.0,female,True,53,223,23.766816143497756,tx,oakland
19,2010.0,male,True,344,1497,22.979291917167668,tx,oakland
21,2011.0,female,True,109,353,30.878186968838527,tx,oakland
23,2011.0,male,True,524,1902,27.549947423764458,tx,oakland
25,2012.0,female,True,62,335,18.507462686567163,tx,oakland
27,2012.0,male,True,454,1745,26.017191977077363,tx,oakland
29,2013.0,female,True,100,346,28.901734104046245,tx,oakland
31,2013.0,male,True,493,1899,25.961032122169563,tx,oakland
33,2014.0,female,True,99,340,29.117647058823533,tx,oakland
35,2014.0,male,True,485,1766,27.463193657984146,tx,oakland
37,2015.0,female,True,60,258,23.25581395348837,tx,oakland
39,2015.0,male,True,477,1623,29.390018484288355,tx,oakland
41,2016.0,female,True,29,123,23.577235772357724,tx,oakland
43,2016.0,male,True,187,652,28.680981595092025,tx,oakland
3,2013.0,female,True,8,966,0.8281573498964804,tx,oakland
5,2013.0,male,True,16,2734,0.5852231163130944,tx,oakland
7,2014.0,female,True,1,1034,0.09671179883945842,tx,oakland
9,2014.0,male,True,21,2893,0.7258900795022468,tx,oakland
11,2015.0,female,True,7,649,1.078582434514638,tx,oakland
13,2015.0,male,True,27,1866,1.4469453376205788,tx,oakland
1,2012.0,female,True,28,328,8.536585365853659,tx,oakland
3,2012.0,male,True,135,1703,7.9271873165002935,tx,oakland
5,2013.0,female,True,42,286,14.685314685314685,tx,oakland
7,2013.0,male,True,134,1528,8.769633507853403,tx,oakland
9,2014.0,female,True,23,285,8.070175438596491,tx,oakland
11,2014.0,male,True,134,1345,9.962825278810408,tx,oakland
13,2015.0,female,True,18,190,9.473684210526317,tx,oakland
15,2015.0,male,True,93,871,10.677382319173363,tx,oakland
17,2016.0,female,True,13,116,11.206896551724139,tx,oakland
19,2016.0,male,True,66,577,11.438474870017332,tx,oakland
21,2017.0,female,True,30,213,14.084507042253522,tx,oakland
23,2017.0,male,True,110,881,12.485811577752553,tx,oakland
25,2018.0,female,True,8,98,8.16326530612245,tx,oakland
27,2018.0,male,True,27,301,8.970099667774086,tx,oakland
