,year,subject_race,County,mean,sum
0,2006.0,asian/pacific islander,Texas,6.8181818181818175,44
1,2006.0,black,Texas,23.54124748490945,497
2,2006.0,hispanic,Texas,21.183206106870227,524
3,2006.0,unknown,Texas,3.225806451612903,31
4,2006.0,white,Texas,12.646793134598012,1107
5,2007.0,asian/pacific islander,California,45.38461538461539,401
6,2007.0,asian/pacific islander,Texas,18.181818181818183,401
7,2007.0,black,California,11.11111111111111,2983
8,2007.0,black,Texas,22.53521126760564,2983
9,2007.0,hispanic,California,11.910994764397904,1845
10,2007.0,hispanic,Texas,24.290220820189276,1845
11,2007.0,other,California,28.473804100227788,439
12,2007.0,unknown,Texas,14.285714285714285,7
13,2007.0,white,California,26.17377226119806,2473
14,2007.0,white,Texas,19.19354838709677,2473
15,2008.0,asian/pacific islander,California,39.784946236559136,482
16,2008.0,asian/pacific islander,Texas,11.76470588235294,482
17,2008.0,black,California,9.943382873319178,3150
18,2008.0,black,Texas,28.39506172839506,3150
19,2008.0,hispanic,California,8.19592628516004,2439
20,2008.0,hispanic,Texas,22.28116710875332,2439
21,2008.0,other,California,19.838056680161944,741
22,2008.0,white,California,24.22680412371134,2578
23,2008.0,white,Texas,22.884012539184955,2578
24,2009.0,asian/pacific islander,California,35.41666666666667,394
25,2009.0,asian/pacific islander,Texas,10.0,394
26,2009.0,black,California,8.663282571912013,3278
27,2009.0,black,Texas,22.910216718266252,3278
28,2009.0,hispanic,California,6.004366812227074,2271
29,2009.0,hispanic,Texas,27.790432801822323,2271
30,2009.0,other,California,17.996604414261462,589
31,2009.0,white,California,19.28374655647383,2348
32,2009.0,white,Texas,23.07692307692308,2348
33,2010.0,asian/pacific islander,California,37.32876712328767,316
34,2010.0,asian/pacific islander,Texas,12.5,316
35,2010.0,black,California,8.88335408883354,2839
36,2010.0,black,Texas,23.72093023255814,2839
37,2010.0,hispanic,California,11.665004985044863,1705
38,2010.0,hispanic,Texas,23.504273504273502,1705
39,2010.0,other,California,23.568281938325992,454
40,2010.0,white,California,27.635135135135137,2038
41,2010.0,white,Texas,22.759856630824373,2038
42,2011.0,asian/pacific islander,California,28.00982800982801,417
43,2011.0,asian/pacific islander,Texas,30.0,417
44,2011.0,black,California,5.999302406696896,3538
45,2011.0,black,Texas,27.421758569299552,3538
46,2011.0,hispanic,California,7.008670520231214,2360
47,2011.0,hispanic,Texas,28.99590163934426,2360
48,2011.0,other,California,13.740458015267176,400
49,2011.0,other,Texas,57.14285714285714,400
50,2011.0,unknown,Texas,28.57142857142857,7
51,2011.0,white,California,21.572871572871573,1971
52,2011.0,white,Texas,27.00854700854701,1971
53,2012.0,asian/pacific islander,California,22.12389380530973,226
54,2012.0,black,California,5.922165820642978,3369
55,2012.0,black,Texas,14.343381303227712,3369
56,2012.0,hispanic,California,8.81516587677725,2822
57,2012.0,hispanic,Texas,16.604831252889504,2822
58,2012.0,other,California,14.506172839506174,369
59,2012.0,other,Texas,10.227272727272727,369
60,2012.0,unknown,Texas,40.0,5
61,2012.0,white,California,20.717131474103585,2275
62,2012.0,white,Texas,18.114443551826394,2275
63,2013.0,asian/pacific islander,California,28.078817733990142,333
64,2013.0,asian/pacific islander,Texas,14.52991452991453,333
65,2013.0,black,California,7.585877862595419,3968
66,2013.0,black,Texas,11.633893349649036,3968
67,2013.0,hispanic,California,8.243243243243244,3485
68,2013.0,hispanic,Texas,12.034302582247788,3485
69,2013.0,other,California,17.46724890829694,319
70,2013.0,other,Texas,15.28212320638688,319
71,2013.0,unknown,Texas,14.285714285714285,7
72,2013.0,white,California,21.879815100154083,3565
73,2013.0,white,Texas,12.540058658559197,3565
74,2014.0,asian/pacific islander,California,27.95684784726281,798
75,2014.0,asian/pacific islander,Texas,25.8,798
76,2014.0,black,California,8.269227129374856,5550
77,2014.0,black,Texas,11.709327892723186,5550
78,2014.0,hispanic,California,11.54234227286457,6044
79,2014.0,hispanic,Texas,11.798871710635446,6044
80,2014.0,other,California,17.453026056264925,442
81,2014.0,other,Texas,8.333333333333334,442
82,2014.0,white,California,20.95744094427151,5521
83,2014.0,white,Texas,14.557666965345506,5521
84,2015.0,asian/pacific islander,California,22.41612790494496,446
85,2015.0,asian/pacific islander,Texas,18.75,446
86,2015.0,black,California,10.785036485926858,4540
87,2015.0,black,Texas,10.227357010412211,4540
88,2015.0,hispanic,California,13.467236746621689,4486
89,2015.0,hispanic,Texas,14.031751108832317,4486
90,2015.0,other,California,15.39926947540777,397
91,2015.0,other,Texas,23.076923076923077,397
92,2015.0,unknown,Texas,26.666666666666664,13
93,2015.0,white,California,20.287807924703692,3930
94,2015.0,white,Texas,14.654724683999461,3930
95,2016.0,asian/pacific islander,California,29.591872564488753,556
96,2016.0,asian/pacific islander,Texas,11.11111111111111,556
97,2016.0,black,California,21.28420161434429,9723
98,2016.0,black,Texas,16.73968281783931,9723
99,2016.0,hispanic,California,23.119410043633888,4290
100,2016.0,hispanic,Texas,19.354822795800775,4290
101,2016.0,other,California,21.554232804232807,418
102,2016.0,other,Texas,49.99999999999999,418
103,2016.0,white,California,28.02542384354942,2321
104,2016.0,white,Texas,21.796791443850267,2321
105,2017.0,asian/pacific islander,California,19.59171826625387,371
106,2017.0,black,California,17.95750538241626,8261
107,2017.0,black,Texas,14.838709677419354,8261
108,2017.0,hispanic,California,16.303126282680225,2926
109,2017.0,hispanic,Texas,13.333333333333334,2926
110,2017.0,other,California,11.951316839584996,216
111,2017.0,other,Texas,22.22222222222222,216
112,2017.0,white,California,18.849268411357873,1428
113,2017.0,white,Texas,11.572052401746726,1428
114,2018.0,asian/pacific islander,Texas,100.0,1
115,2018.0,black,Texas,12.0,50
116,2018.0,hispanic,Texas,5.960264900662252,151
117,2018.0,other,Texas,20.0,10
118,2018.0,white,Texas,9.090909090909092,187
